3632418  r_02_ 19  0.06593 0.00386 0.00453
3632418  r_02_ 20  0.06568 0.00515 0.00561
3632418  r_02_ 21  0.06192 0.00598 0.00677
3632418  r_02_ 22  0.07860 0.00735 0.00738
3632418  r_02_ 23  0.07043 0.01047 0.01354
3632418  r_02_ 24  0.06169 0.01498 0.01843
3632418  r_02_ 25  0.03684 0.01980 0.02054
3632418  r_02_ 26  0.07703 0.02350 0.03154
3632418  r_02_ 27  0.10574 0.02826 0.03469
3632418  r_01_ 11  0.05803 0.00464 0.00467
3632418  r_10_ 11  0.05851 0.00409 0.00361
3632418  r_01_ 12  0.06451 0.00283 0.00268
3632418  r_10_ 12  0.07004 0.00276 0.00252
3632418  r_01_ 13  0.07214 0.00260 0.00305
3632418  r_10_ 13  0.07201 0.00263 0.00271
3632418  r_01_ 14  0.07169 0.00217 0.00217
3632418  r_10_ 14  0.07027 0.00232 0.00216
3632418  r_01_ 15  0.06823 0.00254 0.00272
3632418  r_10_ 15  0.06621 0.00232 0.00253
3632418  r_01_ 16  0.06573 0.00212 0.00214
3632418  r_10_ 16  0.06641 0.00172 0.00216
3632418  r_01_ 17  0.06572 0.00175 0.00171
3632418  r_10_ 17  0.06506 0.00171 0.00174
3632418  r_01_ 18  0.06496 0.00178 0.00182
3632418  r_10_ 18  0.06505 0.00186 0.00179
3632418  r_01_ 19  0.06401 0.00210 0.00205
3632418  r_10_ 19  0.06276 0.00233 0.00247
3632418  r_01_ 20  0.06174 0.00290 0.00293
3632418  r_10_ 20  0.05950 0.00290 0.00280
3632418  r_01_ 21  0.05611 0.00307 0.00307
3632418  r_10_ 21  0.05613 0.00346 0.00333
3632418  r_01_ 22  0.05685 0.00408 0.00397
3632418  r_10_ 22  0.05371 0.00421 0.00423
3632418  r_01_ 23  0.04859 0.00480 0.00499
3632418  r_10_ 23  0.04717 0.00579 0.00576
3632418  r_01_ 24  0.04732 0.00705 0.00768
3632418  r_10_ 24  0.04638 0.00717 0.00782
3632418  r_01_ 25  0.04300 0.00865 0.00868
3632418  r_10_ 25  0.03595 0.01052 0.01020
3632418  r_01_ 26  0.03365 0.01326 0.01215
3632418  r_10_ 26  0.04701 0.01293 0.01322
3656476  r_02_ 15  0.05993 0.00348 0.00295
3656476  r_02_ 16  0.05991 0.00186 0.00189
3656476  r_02_ 17  0.05846 0.00116 0.00130
3656476  r_02_ 18  0.05378 0.00100 0.00096
3656476  r_02_ 19  0.04988 0.00094 0.00104
3656476  r_02_ 20  0.04791 0.00100 0.00103
3656476  r_02_ 21  0.04214 0.00161 0.00154
3656476  r_02_ 22  0.03761 0.00373 0.00314
3656476  r_02_ 23  0.03617 0.01212 0.01299
3656476  r_02_ 24  0.02680 0.01877 0.01587
3656476  r_10_ 13  0.06448 0.00642 0.00611
3656476  r_01_ 14  0.06215 0.00520 0.00403
3656476  r_10_ 14  0.06010 0.00364 0.00302
3656476  r_01_ 15  0.05838 0.00170 0.00157
3656476  r_10_ 15  0.05821 0.00109 0.00117
3656476  r_01_ 16  0.05780 0.00088 0.00088
3656476  r_10_ 16  0.05704 0.00076 0.00087
3656476  r_01_ 17  0.05535 0.00070 0.00066
3656476  r_10_ 17  0.05402 0.00068 0.00064
3656476  r_01_ 18  0.05243 0.00063 0.00059
3656476  r_10_ 18  0.05134 0.00059 0.00055
3656476  r_01_ 19  0.05079 0.00062 0.00063
3656476  r_10_ 19  0.05020 0.00055 0.00064
3656476  r_01_ 20  0.04867 0.00068 0.00068
3656476  r_10_ 20  0.04664 0.00081 0.00084
3656476  r_01_ 21  0.04447 0.00097 0.00112
3656476  r_10_ 21  0.04328 0.00144 0.00141
3656476  r_01_ 22  0.04178 0.00249 0.00199
3656476  r_10_ 22  0.04278 0.00347 0.00317
